catchment_id,train_coverage,validation_coverage,test_coverage,train_q95_m3_s,train_high_flow_days,validation_high_flow_days,test_high_flow_days,nonzero_train_days,negative_values,selection_score
11007,0.95787072243346,0.40470974808324206,0.13855421686746988,43.01949999999995,315,60,8,2842,0,0.13855421686746988
08030,0.9496577946768061,0.7792990142387732,0.9775465498357064,202.21499999999995,313,74,53,4721,0,0.7792990142387732
03099,0.9492015209125475,1.0,0.4715224534501643,102.95,312,93,57,5450,0,0.4715224534501643
03105,0.9492015209125475,1.0,0.6292442497261774,181.85,312,89,67,6188,0,0.6292442497261774
14014,0.9467680608365019,1.0,0.8061336254107339,161.88399999999965,312,80,72,4043,0,0.8061336254107339
13025,0.9432699619771863,0.8860898138006572,0.604052573932092,216.94999999999982,311,134,60,4780,0,0.604052573932092
04057,0.9429657794676806,0.5175246440306681,0.8466593647316539,96.86699999999989,310,86,60,4643,0,0.5175246440306681
04006,0.9419011406844107,0.40416210295728366,0.42606790799561883,130.21999999999989,310,42,29,4533,0,0.40416210295728366
08029,0.9380988593155893,0.572289156626506,0.8948521358159912,490.0,308,56,70,6092,0,0.572289156626506
04047,0.9361216730038023,0.40470974808324206,0.5164293537787513,499.9299999999985,308,68,53,2161,0,0.40470974808324206
06007,0.9344486692015209,1.0,1.0,460.267,308,104,97,6144,0,0.9344486692015209
16012,0.9306463878326996,0.9720700985761227,0.9748083242059146,351.6579999999998,306,81,93,4775,0,0.9306463878326996
04023,0.9294296577946768,1.0,0.7026286966046003,11.62,305,73,35,3152,0,0.7026286966046003
11001,0.9283650190114069,0.5613362541073385,0.828039430449069,35.8,298,36,100,3498,0,0.5613362541073385
04044,0.9177186311787072,0.52026286966046,0.6139101861993428,216.56999999999988,302,71,77,1666,0,0.52026286966046
04019,0.912851711026616,0.0,0.004381161007667032,4248.4999999999945,301,0,0,5981,0,0.0
04041,0.912851711026616,0.0,0.9441401971522454,36.64749999999999,301,0,9,5703,0,0.0
04051,0.912851711026616,0.0,0.0,1.82,299,0,0,718,0,0.0
11006,0.9085931558935362,0.4090909090909091,0.1982475355969332,51.11949999999991,299,82,87,2436,0,0.1982475355969332
04025,0.9043346007604562,1.0,0.4764512595837897,62.135,298,97,31,3219,0,0.4764512595837897
04024,0.9037262357414448,0.0,0.0,6.585499999999984,298,0,0,861,0,0.0
03038,0.8898859315589354,0.7814895947426068,0.7667031763417306,55.614999999999995,293,128,30,3044,0,0.7667031763417306
07001,0.8889733840304183,1.0,1.0,100.0,290,56,53,5845,0,0.8889733840304183
03056,0.8888212927756654,0.7513691128148959,0.9309967141292442,34.28499999999995,293,157,85,4891,0,0.7513691128148959
03107,0.8838022813688213,0.8263964950711938,0.778751369112815,158.45499999999998,291,133,52,3326,0,0.778751369112815
14009,0.8711787072243345,0.3181818181818182,0.5109529025191676,172.34849999999975,287,48,68,2412,0,0.3181818181818182
08021,0.8685931558935361,0.8696604600219058,0.984118291347207,417.45,286,51,53,5640,0,0.8685931558935361
04005,0.8661596958174905,0.8565169769989047,0.6265060240963856,52.69100000000002,285,91,44,4518,0,0.6265060240963856
03002,0.8658555133079848,1.0,0.38718510405257395,123.0259999999999,285,91,34,4509,0,0.38718510405257395
13010,0.8608365019011407,0.9173055859802848,0.6478641840087623,125.62450000000005,283,110,53,5112,0,0.6478641840087623
12029,0.8582509505703422,0.9622124863088719,0.7349397590361446,158.6499999999998,283,97,60,3455,0,0.7349397590361446
03043,0.8576425855513308,0.0,0.0,12656.84799999998,282,0,0,5639,0,0.0
04018,0.8573384030418251,0.0,0.0,20.06799999999999,282,0,0,3940,0,0.0
13016,0.8536882129277567,0.9173055859802848,0.7464403066812705,1300.7999999999993,281,89,38,3295,0,0.7464403066812705
14012,0.8473003802281369,0.6736035049288062,0.0,143.775,279,58,0,3658,0,0.0
04039,0.8343726235741444,0.0,0.006024096385542169,27.42,275,0,11,3068,0,0.0
03028,0.8250950570342205,0.0,0.0,468.00000000000034,272,0,0,5071,0,0.0
03072,0.8250950570342205,0.0,0.004928806133625411,1638.4080000000008,272,0,0,5425,0,0.0
03014,0.8240304182509506,0.0,0.0,69.66549999999987,271,0,0,5383,0,0.0
14003,0.8223574144486692,1.0,0.8187294633077765,600.9799999999997,271,72,48,3563,0,0.8187294633077765
13008,0.8074524714828898,0.7130339539978094,0.06900328587075576,1105.9545999999991,266,49,39,3694,0,0.06900328587075576
13007,0.7800760456273764,0.0,0.07447973713033954,377.9799999999993,257,0,0,5129,0,0.0
14004,0.7776425855513308,0.6150054764512596,0.0,288.82559999999955,256,27,0,4516,0,0.0
03079,0.7698859315589354,0.624315443592552,0.4539978094194962,196.10999999999967,254,34,4,4688,0,0.4539978094194962
13006,0.7330798479087453,0.0,0.13362541073384446,500.3200000000001,241,0,18,4820,0,0.0
11005,0.7300380228136882,0.3702081051478642,0.25903614457831325,18.10045000000007,240,86,92,1909,0,0.25903614457831325
